[FIXES]
;
; Sections:
; O = Nil Fix
; Airway/TERPS
; ABQ Diagram
BABYY N035.09.55.260 W107.15.09.760
BAKSE N033.58.28.130 W114.22.22.400
BALSM N032.19.26.440 W106.20.16.060
BALTE N033.25.43.790 W112.12.40.720
BAMIC N033.28.42.920 W105.52.19.650
BANYO N033.50.28.630 W112.04.27.130
BANZO N034.38.27.580 W110.03.01.170
BAPPA N033.42.23.060 W112.11.30.150
BARDO N034.41.14.140 W103.00.38.500
BARLL N033.25.36.590 W111.32.56.430
BARRZ N034.24.12.140 W103.17.59.050
BASER N032.33.02.940 W111.37.55.090
BASHA N033.16.43.830 W111.57.00.410
BASSL N033.33.33.950 W111.40.42.040
BAVLY N032.37.52.040 W107.51.40.530
BAVPE N035.35.22.210 W111.52.49.600
BAXKU N033.03.40.100 W109.52.46.560
BAXTU N035.34.25.650 W108.31.20.370
BAYBI N032.45.57.230 W111.05.50.170
BAYTA N033.30.04.760 W111.22.41.120
BBALL N032.57.56.840 W111.29.21.620
BBBBB N035.08.22.190 W101.44.20.540
BDWIL N033.54.33.980 W112.09.24.630
BEAHR N031.43.53.350 W106.05.06.390
BEAKY N036.28.00.540 W101.32.12.870
BEANN N034.50.04.390 W106.22.42.370
BECCK N033.15.31.990 W111.44.08.570
BECON N031.47.17.580 W106.42.45.170
BEERZ N036.20.43.560 W113.46.38.560
BEGGR N035.06.35.550 W107.16.08.750
BELLA N031.36.36.600 W110.05.46.170
BELLY N033.31.27.950 W111.35.57.860
BENTT N033.07.20.300 W105.49.48.950
BEPME N035.07.45.410 W114.33.18.070
BERCA N033.41.51.440 W114.29.14.810
BERSE N035.23.41.790 W109.03.03.270
BESAQ N037.21.15.940 W105.55.51.690
BETHL N036.53.03.900 W112.26.25.550
BEVSE N035.50.39.710 W101.02.44.020
BEYER N035.09.06.810 W111.39.24.890
BEYMI N035.16.38.980 W113.31.11.290
BEZIC N031.46.24.560 W106.29.31.420
BGBND N032.08.46.640 W105.32.13.140
BGEYE N035.07.37.050 W106.39.01.140
BIBQU N034.52.37.590 W106.48.19.020
BICNA N032.31.22.930 W104.22.27.850
BIENN N034.59.11.180 W106.46.06.140
BIFFF N035.07.05.830 W101.42.59.050
BFUNE N036.06.10.730 W114-28-40.090
BIGGG N035.12.08.620 W101.34.59.760
BIGNE N036.56.58.580 W111.27.11.570
BILDE N034.57.24.490 W106.41.48.520
BILDY N033.25.09.120 W110.44.17.600
BINTT N032.19.26.930 W111.03.15.020
BISOP N035.34.56.070 W112.25.26.120
BISUW N033.50.54.230 W102.09.35.510
BITNE N035.14.41.810 W101.34.11.050
BITVE N031.20.44.000 W110.48.36.000
BIVDE N031.48.16.070 W106.14.57.880
BIVKE N031.45.25.450 W106.29.49.580
BIVLE N031.28.28.050 W105.49.29.180
BIWFO N033.40.18.380 W111.53.45.690
BIYEN N034.49.26.340 W106.36.10.800
BLINE N033.32.31.000 W111.40.45.000
BLINI N035.22.16.770 W108.21.25.180
BLOKE N037.25.01.320 W105.31.01.440
BLRNG N032.24.50.380 W105.25.16.960
BLUUN N035.10.29.690 W106.42.34.410
BLYSS N031.58.35.350 W105.42.15.400
BNNKR N032.28.08.680 W110.42.35.120
BNYRD N032.59.53.240 W111.57.59.150
BNZAI N033.30.06.380 W112.16.41.800
BOATY N032.57.17.020 W107.22.51.000
BOBRE N033.10.00.570 W111.29.25.040
BOBYY N034.22.07.060 W105.49.29.580
BOHTX N033.47.43.590 W111.33.59.300
BOJAY N034.32.10.270 W103.10.12.260
BOLES N033.40.29.050 W112.18.00.870
BOLIC N034.00.40.410 W110.21.06.120
BOLMY N030.23.26.260 W103.40.45.850
BOLYN N034.31.23.550 W110.02.26.470
BOPLE N036.07.44.370 W105.13.08.280
BORYU N034.55.48.770 W114.30.38.110
BOSQE N034.51.21.340 W106.47.52.000
BOTAC N036.41.44.060 W103.03.29.360
BOTAW N033.51.42.100 W106.54.39.830
BOWSU N034.39.20.680 W111.53.00.020
BOXXR N032.26.15.640 W109.45.17.780
BOZDA N032.50.13.200 W104.03.12.900
BRAKR N036.43.39.520 W101.30.08.480
BRAZO N036.49.15.350 W106.39.06.430
BRDEY N032.54.40.330 W111.29.18.600
BREDD N033.22.42.260 W105.12.58.300
BREZE N037.20.59.890 W105.56.02.080
BRIEZ N033.39.18.520 W111.57.43.990
BRISC N035.35.06.860 W100.31.43.580
BRKBD N034.54.44.980 W106.34.42.430
BRMLY N036.02.24.450 W107.54.43.620
BRNDA N033.20.34.180 W112.04.40.180
BRNDO N034.57.15.450 W106.38.57.260
BROAK N033.31.49.830 W111.13.12.530
BROKE N035.41.47.570 W100.57.12.780
BRRRT N032.49.00.120 W112.40.59.030
BRUSR N034.05.10.290 W112.08.13.500
BRYGG N032.49.19.270 W114.43.42.650
BUCZO N033.58.17.100 W104.58.51.300
BUDME N033.25.41.710 W111.40.10.450
BUDPY N034.28.00.580 W106.33.46.290
BUGGS N032.37.52.920 W112.18.14.810
BUKEE N035.29.13.820 W108.21.32.390
BUKKO N035.31.44.530 W107.59.47.590
BULAC N035.03.02.230 W114.33.05.430
BUMIW N032.36.36.400 W103.29.26.570
BUNTR N033.50.04.940 W111.27.45.880
BUPNY N034.55.22.790 W106.45.46.570
BUREW N034.31.49.490 W107.31.37.400
BURNR N034.33.12.540 W103.07.14.640
BURQI N035.11.22.270 W106.39.16.920
BURRO N032.02.34.370 W110.51.12.750
BUSCO N033.02.33.860 W112.27.46.070
BUSEY N031.47.23.870 W106.08.54.520
BUSLE N035.20.32.000 W108.22.18.000
BUSTD N034.00.27.510 W111.47.53.190
BUTTE N035.17.05.150 W110.27.00.760
BUVKY N036.56.13.080 W101.51.42.080
BUVLE N036.03.19.750 W100.47.37.300
BUYSA N035.29.55.210 W108.09.31.790
BUZRR N032.05.35.500 W110.48.14.980
CABLY N035.10.07.120 W111.37.35.260
CABNO N034.30.11.000 W108.30.38.000
CABNU N031.52.01.510 W106.12.13.340
CABOL N031.58.45.060 W104.29.52.950
CABOS N033.43.58.460 W112.19.34.560
CABSI N031.43.55.040 W106.12.19.570
CABUS N034.45.56.490 W106.14.07.750
CABZO N035.30.15.900 W107.09.23.310
CACAV N036.16.36.310 W103.16.28.390
CACTO N033.40.06.800 W111.59.22.000
CACTY N033.31.53.990 W111.59.17.790
CACYA N033.34.24.700 W111.55.34.180
CADAT N035.13.20.760 W106.35.56.920
CADDU N034.58.42.700 W112.58.31.240
CADEK N031.47.03.500 W105.42.00.080
CADRI N036.47.19.270 W111.25.05.810
CADUH N034.06.26.530 W101.48.24.370
CADVO N034.54.08.730 W106.05.04.470
CAGEV N032.34.27.170 W106.57.19.600
CAGOR N033.25.43.480 W112.16.58.090
CAGVA N033.43.19.520 W112.17.11.480
CAHUA N031.53.21.140 W109.08.03.200
CAJLA N035.31.09.610 W112.19.09.560
CAKNO N036.00.15.030 W100.23.32.070
CALGU N035.16.38.700 W111.17.59.770
CALIE N033.16.20.170 W113.08.45.360
CALLS N032.13.07.350 W111.03.36.010
CALRA N034.56.54.340 W114.32.37.820
CAMBA N034.35.09.840 W109.58.27.480
CAMOY N036.59.57.790 W100.59.54.800
CAMVI N034.05.12.450 W110.08.02.350
CANAT N032.54.12.590 W114.44.59.740
CAPAR N033.02.31.500 W106.09.09.670
CAPEP N034.40.44.030 W109.29.48.170
