[NDB]
*110	MIA N033.31.25.800 W107.57.22.040
*110	MIA N033.23.50.480 W109.22.13.970
*110	MIA N034.02.23.510 W109.54.11.400
*110	MIA N034.13.59.020 W108.51.43.740
*110	MIA N034.14.13.090 W107.26.19.430
*110	MIA N033.16.51.160 W107.32.29.830
*110	MIA N033.46.29.130 W108.51.27.330
*110	MIA N034.12.22.040 W109.19.52.870
*110	MIA N033.31.25.800 W107.57.22.040
*110	MIA N033.23.50.480 W109.22.13.970
*110	MIA N034.02.23.510 W109.54.11.400
*110	MIA N034.13.59.020 W108.51.43.740
*110	MIA N034.14.13.090 W107.26.19.430
*110	MIA N033.16.51.160 W107.32.29.830
*110	MIA N033.46.29.130 W108.51.27.330
*110	MIA N034.12.22.040 W109.19.52.870
*110	MIA N033.31.25.800 W107.57.22.040
*110	MIA N033.23.50.480 W109.22.13.970
*110	MIA N034.02.23.510 W109.54.11.400
*110	MIA N034.13.59.020 W108.51.43.740
*110	MIA N034.14.13.090 W107.26.19.430
*110	MIA N033.16.51.160 W107.32.29.830
*110	MIA N033.46.29.130 W108.51.27.330
*110	MIA N034.12.22.040 W109.19.52.870
*115	MIA N034.03.22.570 W108.40.36.410
*115	MIA N034.03.22.570 W108.40.36.410
*115	MIA N034.03.22.570 W108.40.36.410
*115	MIA N034.03.22.570 W108.40.36.410
*115	MIA N034.03.22.570 W108.40.36.410
*115	MIA N034.03.22.570 W108.40.36.410
*115	MIA N034.03.22.570 W108.40.36.410
*115	MIA N034.03.22.570 W108.40.36.410
*115	MIA N034.03.22.570 W108.40.36.410
*116	MIA N033.58.37.610 W108.58.17.470
*116	MIA N033.58.37.610 W108.58.17.470
*116	MIA N033.58.37.610 W108.58.17.470
*116	MIA N033.58.37.610 W108.58.17.470
*116	MIA N033.58.37.610 W108.58.17.470
*116	MIA N033.58.37.610 W108.58.17.470
*116	MIA N033.58.37.610 W108.58.17.470
*116	MIA N033.58.37.610 W108.58.17.470
*116	MIA N033.58.37.610 W108.58.17.470
*118	MIA N034.03.42.390 W108.03.36.960
*118	MIA N034.03.42.390 W108.03.36.960
*118	MIA N034.03.42.390 W108.03.36.960
*118	MIA N034.03.42.390 W108.03.36.960
*118	MIA N034.03.42.390 W108.03.36.960
*118	MIA N034.03.42.390 W108.03.36.960
*118	MIA N034.03.42.390 W108.03.36.960
*118	MIA N034.03.42.390 W108.03.36.960
*118	MIA N034.03.42.390 W108.03.36.960
*120	MIA N034.11.40.630 W108.28.33.930
*120	MIA N034.11.40.630 W108.28.33.930
*120	MIA N034.11.40.630 W108.28.33.930
*120	MIA N034.11.40.630 W108.28.33.930
*120	MIA N034.11.40.630 W108.28.33.930
*120	MIA N034.11.40.630 W108.28.33.930
*120	MIA N034.11.40.630 W108.28.33.930
*120	MIA N034.11.40.630 W108.28.33.930
*120	MIA N034.11.40.630 W108.28.33.930
*124	MIA N034.07.01.580 W108.12.50.330
*124	MIA N034.07.01.580 W108.12.50.330
*124	MIA N034.07.01.580 W108.12.50.330
*124	MIA N034.07.01.580 W108.12.50.330
*124	MIA N034.07.01.580 W108.12.50.330
*124	MIA N034.07.01.580 W108.12.50.330
*124	MIA N034.07.01.580 W108.12.50.330
*124	MIA N034.07.01.580 W108.12.50.330
*124	MIA N034.07.01.580 W108.12.50.330
*125	MIA N033.44.32.910 W107.28.49.040
*125	MIA N033.44.32.910 W107.28.49.040
*125	MIA N033.44.32.910 W107.28.49.040
*125	MIA N033.44.32.910 W107.28.49.040
*125	MIA N033.44.32.910 W107.28.49.040
*125	MIA N033.44.32.910 W107.28.49.040
*125	MIA N033.44.32.910 W107.28.49.040
*125	MIA N033.44.32.910 W107.28.49.040
*125	MIA N033.44.32.910 W107.28.49.040
*52	MIA N032.33.03.770 W114.00.32.420
*52	MIA N032.33.03.770 W114.00.32.420
*52	MIA N032.33.03.770 W114.00.32.420
*52	MIA N032.33.03.770 W114.00.32.420
*52	MIA N032.33.03.770 W114.00.32.420
*52	MIA N032.33.03.770 W114.00.32.420
*52	MIA N032.33.03.770 W114.00.32.420
*52	MIA N032.33.03.770 W114.00.32.420
*52	MIA N032.33.03.770 W114.00.32.420
*57	MIA N033.54.02.020 W114.11.20.800
*57	MIA N033.54.02.020 W114.11.20.800
*57	MIA N033.54.02.020 W114.11.20.800
*57	MIA N033.54.02.020 W114.11.20.800
*57	MIA N033.54.02.020 W114.11.20.800
*57	MIA N033.54.02.020 W114.11.20.800
*57	MIA N033.54.02.020 W114.11.20.800
*57	MIA N033.54.02.020 W114.11.20.800
*57	MIA N033.54.02.020 W114.11.20.800
*58	MIA N030.09.43.950 W102.19.50.560
*58	MIA N030.09.43.950 W102.19.50.560
*58	MIA N030.09.43.950 W102.19.50.560
*58	MIA N030.09.43.950 W102.19.50.560
*58	MIA N030.09.43.950 W102.19.50.560
*58	MIA N030.09.43.950 W102.19.50.560
*58	MIA N030.09.43.950 W102.19.50.560
*58	MIA N030.09.43.950 W102.19.50.560
*58	MIA N030.09.43.950 W102.19.50.560
*63	MIA N029.44.44.420 W102.52.26.310
*63	MIA N029.44.44.420 W102.52.26.310
*63	MIA N029.44.44.420 W102.52.26.310
*63	MIA N029.44.44.420 W102.52.26.310
*63	MIA N029.44.44.420 W102.52.26.310
*63	MIA N029.44.44.420 W102.52.26.310
*63	MIA N029.44.44.420 W102.52.26.310
*63	MIA N029.44.44.420 W102.52.26.310
*63	MIA N029.44.44.420 W102.52.26.310
*69	MIA N033.11.51.930 W114.05.25.220
*69	MIA N033.11.51.930 W114.05.25.220
*69	MIA N033.11.51.930 W114.05.25.220
*69	MIA N033.11.51.930 W114.05.25.220
*69	MIA N033.11.51.930 W114.05.25.220
*69	MIA N033.11.51.930 W114.05.25.220
*69	MIA N033.11.51.930 W114.05.25.220
*69	MIA N033.11.51.930 W114.05.25.220
*69	MIA N033.11.51.930 W114.05.25.220
*70	MIA N029.51.30.540 W103.06.22.040
*70	MIA N029.51.30.540 W103.06.22.040
*70	MIA N029.51.30.540 W103.06.22.040
*70	MIA N029.51.30.540 W103.06.22.040
*70	MIA N029.51.30.540 W103.06.22.040
*70	MIA N029.51.30.540 W103.06.22.040
*70	MIA N029.51.30.540 W103.06.22.040
*70	MIA N029.51.30.540 W103.06.22.040
*70	MIA N029.51.30.540 W103.06.22.040
*71	MIA N034.22.57.710 W114.07.06.910
*71	MIA N034.22.57.710 W114.07.06.910
*71	MIA N034.22.57.710 W114.07.06.910
*71	MIA N034.22.57.710 W114.07.06.910
*71	MIA N034.22.57.710 W114.07.06.910
*71	MIA N034.22.57.710 W114.07.06.910
*71	MIA N034.22.57.710 W114.07.06.910
*71	MIA N034.22.57.710 W114.07.06.910
*71	MIA N034.22.57.710 W114.07.06.910
*74	MIA N029.57.42.860 W103.04.33.390
*74	MIA N029.57.42.860 W103.04.33.390
*74	MIA N029.57.42.860 W103.04.33.390
*74	MIA N029.57.42.860 W103.04.33.390
*74	MIA N029.57.42.860 W103.04.33.390
*74	MIA N029.57.42.860 W103.04.33.390
*74	MIA N029.57.42.860 W103.04.33.390
*74	MIA N029.57.42.860 W103.04.33.390
*74	MIA N029.57.42.860 W103.04.33.390
*80	MIA N029.34.44.410 W103.20.09.500
*80	MIA N029.34.44.410 W103.20.09.500
