*SRR_ATS_Approaches             O              O              O              O
                          N033.18.05.248 W104.33.07.059 N033.18.06.648 W104.33.05.944 RVM
                          N033.18.06.648 W104.33.05.944 N033.18.07.583 W104.33.04.277 RVM
                          N033.18.07.583 W104.33.04.277 N033.18.07.912 W104.33.02.310 RVM
                          N033.18.07.912 W104.33.02.310 N033.18.07.583 W104.33.00.343 RVM
                          N033.18.07.583 W104.33.00.343 N033.18.06.648 W104.32.58.675 RVM
                          N033.18.06.648 W104.32.58.675 N033.18.05.248 W104.32.57.561 RVM
                          N033.18.05.248 W104.32.57.561 N033.18.03.596 W104.32.57.170 RVM
                          N033.18.07.083 W104.32.58.944 N033.18.01.805 W104.32.57.766 RVM
                          N033.18.07.743 W104.33.00.515 N033.18.00.486 W104.32.58.944 RVM
                          N033.18.08.073 W104.33.01.694 N033.17.59.826 W104.33.00.123 RVM
                          N033.18.08.073 W104.33.03.265 N033.17.59.496 W104.33.01.694 RVM
                          N033.18.07.743 W104.33.04.836 N033.17.59.496 W104.33.03.265 RVM
                          N033.18.06.753 W104.33.06.015 N033.17.59.826 W104.33.04.444 RVM
                          N033.18.05.434 W104.33.07.193 N033.18.00.486 W104.33.06.015 RVM
                          N032.40.02.192 W104.54.23.373 N032.40.00.539 W104.54.23.754 RVM
                          N032.40.00.539 W104.54.23.754 N032.39.59.135 W104.54.24.855 RVM
                          N032.39.59.135 W104.54.24.855 N032.39.58.195 W104.54.26.507 RVM
                          N032.39.58.195 W104.54.26.507 N032.39.57.861 W104.54.28.458 RVM
                          N032.39.57.861 W104.54.28.458 N032.39.58.184 W104.54.30.413 RVM
                          N032.39.58.184 W104.54.30.413 N032.39.59.114 W104.54.32.072 RVM
                          N032.39.59.114 W104.54.32.072 N032.40.00.512 W104.54.33.184 RVM
                          N032.40.00.512 W104.54.33.184 N032.40.02.162 W104.54.33.579 RVM
                          N032.40.02.162 W104.54.33.579 N032.40.03.815 W104.54.33.197 RVM
                          N032.40.03.815 W104.54.33.197 N032.40.05.219 W104.54.32.097 RVM
                          N032.40.05.219 W104.54.32.097 N032.40.06.160 W104.54.30.445 RVM
                          N032.40.06.160 W104.54.30.445 N032.40.06.494 W104.54.28.493 RVM
                          N032.40.06.494 W104.54.28.493 N032.40.06.171 W104.54.26.539 RVM
                          N032.40.06.171 W104.54.26.539 N032.40.05.240 W104.54.24.880 RVM
                          N032.40.05.240 W104.54.24.880 N032.40.03.843 W104.54.23.768 RVM
                          N032.40.03.843 W104.54.23.768 N032.40.02.192 W104.54.23.373 RVM
                          N032.40.05.818 W104.54.25.203 N032.40.00.543 W104.54.24.012 RVM
                          N032.40.06.473 W104.54.26.766 N032.39.59.220 W104.54.25.176 RVM
                          N032.40.06.798 W104.54.28.327 N032.39.58.557 W104.54.26.344 RVM
                          N032.40.06.795 W104.54.29.497 N032.39.58.223 W104.54.27.902 RVM
                          N032.40.06.462 W104.54.30.666 N032.39.58.218 W104.54.29.462 RVM
                          N032.40.05.467 W104.54.32.222 N032.39.58.545 W104.54.30.634 RVM
                          N032.40.04.145 W104.54.33.386 N032.39.59.200 W104.54.32.196 RVM
                          N032.56.02.373 W105.19.53.126 N032.56.00.719 W105.19.53.501 RVM
                          N032.56.00.719 W105.19.53.501 N032.55.59.312 W105.19.54.598 RVM
