AR639(Blk130-280)               O              O              O              O
                          N031.46.00.000 W108.12.50.000 N031.30.00.000 W108.12.50.000 RED
                          N031.30.00.000 W108.12.50.000 N031.24.42.000 W108.32.67.000 RED
                          N031.24.42.000 W108.32.67.000 N031.24.00.000 W109.42.50.000 RED
                          N031.24.00.000 W109.42.50.000 N031.28.50.000 W110.00.00.000 RED
                          N031.28.50.000 W110.00.00.000 N031.47.00.000 W110.00.00.000 RED
                          N031.47.00.000 W110.00.00.000 N031.51.50.000 W109.43.00.000 RED
                          N031.51.50.000 W109.43.00.000 N031.52.50.000 W108.32.50.000 RED
                          N031.52.50.000 W108.32.50.000 N031.46.00.000 W108.12.50.000 RED
;
